Explanation Position Goal Role Notation isPartial isEmphasized hasMany Coder
UN003	1	Algorithm	Background	English False	False	False A
UN003	1	Problem	Definition English False	False	False A
UN003	1	Algorithm	Definition	List True	False	False A
UN003	1	Algorithm	Idea	Pseudocode False	False	False A
UN003	1	Algorithm	Definition English True	False	False A
UN003	1	Algorithm	Definition Pseudocode True	False	False A
UN003	2	Algorithm	Definition Pseudocode False	False	False A
UN003	2	Algorithm	Example Diagram	False	False	False A
UN003	2	Algorithm	Example Sequence False	False	False A
UN003	2	Algorithm	Proof	English False	False	False A
UN003	2	Algorithm	Example	Animation False	False	False A
UN004	1	Algorithm	Background English False	False	False A
UN004	2	Problem	Application	English False	False	True A
UN004	2	Problem	Background	English False	False	False A
UN004	3	Problem	Example	English False	False	False A
UN004	3	Problem	Example	Math False	False	False A
UN004	3	Algorithm	Idea	English False	False	False A
UN004	3	Algorithm	Idea	Diagram False	False	False A
UN004	3	Algorithm	Idea	List False	False	False A
UN004	5	Algorithm	Analogy	English False	False	False A
UN004	5	Algorithm	Analogy	Diagram False	False	False A
UN004	5	Algorithm	Analogy	List False	False	False A
UN004	8	Algorithm	Definition English False	False	False A
UN004	8	Algorithm	Definition Math False	False	False A
UN004	8	Algorithm	Analogy	English False	False	False A
UN004	8	Algorithm	Example	English False	False	False A
UN004	8	Algorithm	Example	Diagram False	False	False A
UN004	8	Algorithm	Example	Sequence False	False	False A
UN004	12	Algorithm	Example English	False	False	False A
UN004	12	Algorithm	Example Diagram False	False	False A
UN004	12	Algorithm	Example Pseudocode False	False	False A
UN004	15	Algorithm	Example	English False	False	False A
UN004	15	Algorithm	Example	Diagram False	False	False A
UN004	15	Algorithm	Example	Picture False	False	False A
UN007	1	Algorithm	Application	English False	False	True A
UN007	1	Problem	Definition	English True	False	False A
UN007	1	Problem	Definition	Pseudocode True	False	False A
UN007	1	Problem	Constraint English	False	False	False A
UN007	1	Problem	Constraint Pseudocode False	False	False A
UN007	2	Problem	Definition	English True	False	False A
UN007	2	Problem	Variant	English False	False	True A
UN007	2	Problem	Variant	English False	False	False A
UN007	2	Problem	Variant	Math False	False	False A
UN007	2	Problem	Variant	List False	False	False A
UN007	2	Problem	Variant	Pseudocode False	False	False A
UN007	3	Algorithm	Analogy	English False	False	False A
UN007	4	Algorithm	Idea	English False	False	False A
UN007	4	Algorithm	Idea	Diagram False	False	False A
UN007	4	Algorithm	Idea	Pseudocode False	False	False A
UN007	4	Algorithm	Idea	English False	False	False A
UN007	4	Algorithm	Idea	Sequence False	False	False A
UN007	5	Problem	Definition Pseudocode False	False	False A
UN007	5	Algorithm	Proof	English False	False	False A
UN007	6	Algorithm	Performance	English False	False	False A
UN007	6	Algorithm	Performance	Math False	False	False A
MS001	1	Algorithm	Idea	English False	False	False A
MS001	1	Algorithm	Idea	Math False	False	False A
MS001	1	Algorithm	Idea	Sequence False	False	False A
MS001	1	Algorithm	Analogy	English False	False	False A
MS001	1	Algorithm	Analogy	Math False	False	False A
MS001	1	Algorithm	Analogy	Sequence False	False	False A
MS001	1	Algorithm	Definition Diagram False	False	False A
MS001	1	Algorithm	Definition Pseudocode False	False	False A
MS001	2	Implementation	Idea List True	False	False A
MS001	2	Algorithm	Example English False	False	False A
MS001	2	Algorithm	Example Math False	False	False A
MS001	2	Algorithm	Example Sequence False	False	False A
MS001	3	Algorithm	Definition Diagram False	False	False A
MS001	3	Algorithm	Example	Animation False	False	False A
MS001	5	Algorithm	Performance	Math False	False	False A
MS001	5	Algorithm	Performance	List False	False	False A
MS001	5	Algorithm	Performance	Table False	False	False A
MS001	5	Algorithm	Performance English	True	False	False A
MS001	5	Algorithm	Performance Math True	False	False A
MS001	7	Algorithm	Proof	English False	False	False A
MS001	7	Algorithm	Proof	Math False	False	False A
MS001	7	Algorithm	Proof	Diagram False	False	False A
MS001	8	Implementation	Definition Code False	False	False A
MS003	1	Algorithm	Analogy	English False	False	False A
MS003	1	Algorithm	Analogy	List False	False	False A
MS003	1	Algorithm	Definition English False	False	False A
MS003	1	Algorithm	Definition Diagram False	False	False A
MS003	2	Implementation	Definition English True	False	False A
MS003	2	Implementation	Definition Pseudocode True	False	False A
MS003	3	Implementation	Definition English True	False	False A
MS003	3	Implementation	Definition Pseudocode True	False	False A
MS003	3	Algorithm	Performance	English False	True	False A
MS003	3	Algorithm	Performance	Math False	True	False A
MS004	1	Algorithm	Definition English False	False	False A
MS004	1	Algorithm	Definition Diagram False	False	False A
MS004	1	Algorithm	Definition English True	False	False A
MS004	1	Algorithm	Definition Diagram True	False	False A
MS004	1	Algorithm	Definition Code True	False	False A
MS004	2	Implementation Variant	English False	False	False A
MS004	2	Implementation Variant	Diagram False	False	False A
MS004	2	Implementation Variant	Code False	False	False A
MS004	2	Implementation Performance	English False	False	False A
MS004	2	Implementation Performance	Math False	False	False A
MS004	2	Implementation Definition List False	False	False A
MS004	2	Implementation Definition Code False	False	False A
MS004	3	Implementation Example	Diagram False	False	False A
MS004	3	Implementation Example	Code False	False	False A
MS004	3	Implementation Variant English False	False	False A
MS004	3	Implementation Variant Diagram False	False	False A
MS004	3	Implementation Variant Code False	False	False A
MS004	4	Implementation Performance English False	False	False A
MS004	4	Implementation Performance Math False	False	False A
MS004	4	Algorithm	Performance	English False	False	False A
MS004	4	Algorithm	Performance	Math False	False	False A
AVT007 1 Problem Background English False False False B
AVT007 1 Problem Performance English False False False B
AVT007 1 Implementation Definition English False False False B
AVT007 1 Algorithm Variant English False False False B
AVT007 1 Algorithm Background English False False False B
AVT007 1 Algorithm Definition English False False False B
AVT007 2 Implementation Definition English False True False B
AVT007 2 Algorithm Idea English False False False B
AVT007 2 Implementation Definition English False True False B
AVT007 2 Implementation Definition Picture False False False B
AVT007 3 Implementation Example Picture False False False B
AVT007 3 Implementation Example Picture False True False B
AVT007 4 Implementation Definition English False False False B
AVT007 5 Implementation Example Picture False False False B
AVT007 5 Implementation Example English False False False B
AVT007 5 Implementation Example Code False False False B
AVT007 6 Implementation Definition Picture False False False B
AVT007 6 Implementation Definition Code False False False B
AVT007 6 Implementation Definition English False False False B
AVT007 7 Implementation Definition English False False False B
AVT007 7 Implementation Example Picture False False False B
AVT007 8 Implementation Example Picture False False False B
AVT007 8 Implementation Idea Picture False False False B
AVT007 8 Implementation Definition English False False False B
AVT007 8 Implementation Definition English False True False B
AVT007 8 Algorithm Example Code False False False B
AVT007 9 Algorithm Example Code False False False B
AVT007 9 Implementation Example Code False False False B
AVT007 9 Algorithm Properties Code False False False B
AVT007 10 Implementation Example Code False False False B
AVT007 11 Implementation Example Code False False False B
AVT007 11 Implementation Example English False False False B
AVT007 12 Algorithm Performance English False False False B
AVT007 12 Algorithm Performance Table False False False B
UN007 1 Algorithm Background English False True False B
UN007 1 Algorithm Application English False False False B
UN007 1 Implementation Constraint English False True False B
UN007 1 Implementation Constraint Code False False False B
UN007 2 Implementation Definition English False True False B
UN007 2 Implementation Definition Math False False False B
UN007 2 Problem Definition English False False False B
UN007 2 Algorithm Variant English False True False B
UN007 2 Implementation Variant English False True False B
UN007 2 Algorithm Variant English False False False B
UN007 3 Algorithm Variant Code False False False B
UN007 3 Algorithm Variant English False False False B
UN007 3 Implementation Variant Code False False False B
UN007 3 Implementation Variant English False False False B
UN007 3 Implementation Idea English False True False B 
UN007 4 Algorithm Analogy Code False False False B
UN007 4 Algorithm Analogy English False False False B
UN007 4 Algorithm Analogy Diagram False False False B
UN007 5 Implementation Idea English False False False B
UN007 5 Implementation Idea Code False False False B
UN007 5 Algorithm Definition Code False True False B
UN007 6 Algorithm Performance English False False False B
